title,company,salary,work,place,skills,decriptions
"Mid/Sr Automation Test (Appium, Python, QA QC, Tester)",Floware,You'll love it,At office,Ho Chi Minh,"Python, Automation Test, QA QC, ",
"Sr Fullstack R&D Developer (NestJS, NodeJS)",Floware,You'll love it,At office,Ho Chi Minh,"NodeJS, NestJS, JavaScript, ",
"Senior iOS Developer (Swift, Objective C)",Floware,You'll love it,At office,Ho Chi Minh,"iOS, Objective C, Swift, ",
"Experienced Backend Engineer (Java, Golang, C#, Scala)",YOONG,You'll love love love it,Hybrid,Ho Chi Minh,"Java, C#, Golang, ",
Fullstack Developer (NodeJS/Python/PHP/Java/Javascript),CONEK,You'll love it,At office,Ha Noi,"Java, ReactJS, JavaScript, ",
Senior Java Backend Developer,Capgemini Vietnam,You'll love it,At office,Ho Chi Minh,"Java, Spring, ",
"Mid-level FrontEnd Developer (ReactJS,NextJS,NodeJS)",APA Tech,Up to 30m,At office,Da Nang,"ReactJS, NextJS, NodeJS, ",
"Kỹ sư Dữ liệu/ Data Engineer (SQL, Database, Oracle)",Ngân hàng TMCP Thịnh vượng và Phát triển (PGBank),You'll love it,At office,Ha Noi,"Database, Oracle, SQL, ",
"Automation Tester (Python, QA QC)",MiTek Viet Nam,You'll love it,At office,Ho Chi Minh,"Automation Test, Tester, QA QC, ",
"CG Phát triển Ứng dụng Corebanking (Java, C#, Python)",Ngân hàng TMCP Thịnh vượng và Phát triển (PGBank),You'll love it,At office,Ha Noi,"Python, Java, C#, ",
"CVCC Phát triển Ứng dụng kênh ngân hàng số (Java, .NET)",Ngân hàng TMCP Thịnh vượng và Phát triển (PGBank),"1,000 - 2,000 USD",At office,Ha Noi,"Java, MySQL, .NET, ",
Software Quality Assurance Engineer,Panasonic Vietnam Group – Panasonic R&D Center Vietnam (PRDCV),You'll love it,At office,Ha Noi,"QA QC, Tester, SQL, ",
"Full-stack Developer (NodeJS, Python)",Panasonic Vietnam Group – Panasonic R&D Center Vietnam (PRDCV),You'll love it,At office,Ha Noi,"JavaScript, NodeJS, Python, ",
Software Developer (C/C++),Panasonic Vietnam Group – Panasonic R&D Center Vietnam (PRDCV),You'll love it,At office,Ha Noi,"C language, C++, OOP, ",
Backend/ Cloud Engineer,Panasonic Vietnam Group – Panasonic R&D Center Vietnam (PRDCV),You'll love it,At office,Ha Noi,"AWS, Linux, Azure, ",
System Engineer,FireGroup,You'll love it,At office,Ho Chi Minh,"System Engineer, IT Support, ",
"Senior Software Engineer, Katalon Studio (Java/C#)",Katalon,You'll love it,Hybrid,Ho Chi Minh,"Java, C#, AWS, ",
"Senior Android Developer (Java, Kotlin) - 2000$",JoySoft Go,"1,500 - 2,000 USD",At office,Ha Noi,"Android, Java, Kotlin, ",
Platform Engineer,Zuhlke Engineering Vietnam,"1,900 - 3,000 USD",Hybrid,Ho Chi Minh,"DevOps, AWS, Azure, ",
Product Manager (Travel Tech),HRS Group,"1,500 - 2,500 USD",Hybrid,Ho Chi Minh,"Product Manager, Product Owner, English, ",
"Embedded Android Platform Engineer (Linux, C/C++)",Datalogic Việt Nam,You'll love it,At office,Ho Chi Minh,"C++, Linux, Embedded Android, ",
"Senior AI/Machine Learning Engineer (NLP, OCR, Python)",HRS Group,"2,300 - 2,700 USD",Hybrid,Ho Chi Minh,"Machine Learning, Python, English, ",
Senior Backend Developer (Python/Nodejs),"SILVERAI., JSC","2,500 - 3,000 USD",Hybrid,Ha Noi,"Python, NodeJS, Computer Vision, ",
"Mid/Sr FullStack Dev (NodeJS, ReactJS, AWS) - Remote",Automation Consulting Pty Ltd,You'll love it,Remote,Ha Noi - Ho Chi Minh - Da Nang,"NodeJS, AWS, ReactJS, ",
"Chuyên Viên Kiểm Thử Phần Mềm (Tester, QA QC)","Thuy Anh Technology CO., LTD",You'll love it,At office,Ho Chi Minh,"Tester, Automation Test, QA QC, ",
IT Business Analyst (Senior BA),Dai-ichi Life Việt Nam,You'll love it,At office,Ho Chi Minh,"Business Analyst, English, SQL, ",
[HCM] Middle Java Developer | Up to $1500,Hybrid Technologies,"1,000 - 1,500 USD",At office,Ho Chi Minh,"Java, Spring, OOP, ",
"Automation Test Engineer (Python, Robot framework, AWS)",Hansen Technologies,You'll love it,At office,Ho Chi Minh,"Python, AWS, Automation Test, ",
"Business Analyst (BA, IT)",FireGroup,You'll love it,At office,Ho Chi Minh,"Business Analyst, Data Analyst, Agile, ",
Engineering Team Lead (.NET),HRS Group,"3,000 - 3,200 USD",Hybrid,Ho Chi Minh,".NET, Team Leader, English, ",
"Product Owner (Business Analyst, English)",Intrepid Group Asia,You'll love it,Hybrid,Ho Chi Minh,"Product Owner, Business Analyst, English, ",
"Senior Backend Engineer (Typescript, NodeJS, ReactJS)",Ringkas,You'll love it,At office,Ho Chi Minh,"TypeScript, NodeJS, SQL, ",
"Frontend Dev (ReactJS, Angular, VueJS) Up to 25m",VietED | Cty CP Công nghệ Giáo dục thông minh,Up to 25m,At office,Ha Noi,"ReactJS, VueJS, Angular, ",
Middle/ Senior Back-end Developer (Go/Python),Việt Nam Silicon,You'll love it,At office,Ho Chi Minh,"Golang, TypeScript, Python, ",
Manual QA Engineer (Tester/ QA QC),Jitsu Vietnam,You'll love it,At office,Ha Noi,"Tester, QA QC, SQL, ",
Principal/Senior DevOps Engineer,KMS Healthcare,You'll love it,Hybrid,Ho Chi Minh - Da Nang,"DevOps, Azure, Cloud, ",
Senior Back-end Engineer (Java),Jitsu Vietnam,You'll love it,At office,Ha Noi,"Java, NoSQL, SQL, ",
"Sr iOS Developer (English, Objective C, Swift) - Hybrid",Elisoft,"1,800 - 2,000 USD",At office,Ho Chi Minh,"iOS, Objective C, Swift, ",
"Fullstack Developer(Python, Django, MySQL)- Up to 1800$",Asilla,Upto $1800,At office,Ha Noi,"Python, MySQL, Django, ",
"Mid/Sr PHP Laravel Developer (SQL, MySQL)","EKYO VIETNAM CO., LTD.",You'll love it,At office,Ha Noi,"PHP, SQL, Laravel, ",
Middle QC Engineer (QA QC),"Gearment Co.,Ltd","Upto 28,000,000 (gross)",At office,Ho Chi Minh,"QA QC, Tester, ERP, ",
Java Software Developer (Mid-Senior),Hansen Technologies,You'll love it,At office,Ho Chi Minh,"Java, Oracle, ",
Data Analyst,Got It,"800 - 1,100 USD",At office,Ho Chi Minh,"SQL, Data Analyst, Business Intelligence, ",
Lead Product Owner,Got It,"2,500 - 3,000 USD",At office,Ho Chi Minh,"Product Owner, Product Manager, Computer Vision, ",
"Senior Data Engineer (SQL, AWS, Python)",Got It,"2,000 - 2,800 USD",At office,Ho Chi Minh,"SQL, Data Warehousing, Cloud, ",
"Middle/Senior AI Engineer (Machine Learning, Cloud)",Innotech Vietnam Corporation,You'll love it,At office,Ho Chi Minh,"AI, Cloud, Machine Learning, ",
Senior Backend Engineer (PHP/Laravel),DIAG,55tr-75tr,At office,Ho Chi Minh,"PHP, Python, Laravel, ",
"Senior Frontend Developer (VueJS, ReactJS)",Ahasoft,You'll love it,At office,Ho Chi Minh,N/A,
UX/UI Designer,Rydiam Saigon Co. Ltd.,You'll love it,At office,Ho Chi Minh,"UI-UX, Designer, ",
".NET Developer (C#, SQL)",Rydiam Saigon Co. Ltd.,"800 - 1,300 USD",At office,Ho Chi Minh,".NET, SQL, ",
"Senior Backend Engineer (Golang, AWS/GCP)",Reforged Labs,Industry leading package,Hybrid,Ho Chi Minh,"Golang, AWS, Python, ",
Backend Developer (Java/ SQL/ NoSQL),Tập Đoàn Đại Trường Phát,You'll love it,At office,Ho Chi Minh,"Java, NoSQL, SQL, ",
"Website Developer (Java, PHP)",CÔNG TY TNHH Địa Sơn Hải - EMS MARKETING,You'll love it,At office,Da Nang,"Java, PHP, JavaScript, ",
"Front-End Developer (ReactJS, JQuery)",Công ty TNHH ANDVINA,Upto 30m,At office,Da Nang,"ReactJS, English, JQuery, ",
"Back-End Developer (Java Spring, NodeJS)",Công ty TNHH ANDVINA,Upto 30m,At office,Da Nang,"Java, NodeJS, Spring, ",
"Senior Software Developer (Python, C#, AWS, Azure)",Hansen Technologies,You'll love it,At office,Ho Chi Minh,"Python, Cloud, C#, ",
IT Engineer (Software & Solution),CÔNG TY CỔ PHẦN OPEN HEALTHCARE VIỆT NAM,You'll love it,At office,Ha Noi,"System Admin, Solution Architect, Database, ",
"Junior Backend .NET Developer (C#, SQL)",CTCP Phần mềm Quản lý Hiện Đại,Up to 20m,At office,Ha Noi,".NET, SQL, C#, ",
"ERP Consultant (Python, English)",BALLER HEADWEAR VIET NAM,Up to 30mil,At office,Da Nang,"ERP, English, Python, ",
"Lập trình viên (NodeJS, React Native, Flutter)",Vilapa,You'll love it,At office,Ha Noi,"NodeJS, Flutter, React Native, ",
"Junior Frontend Developer (JavaScript, ReactJS/Angular)",CTCP Phần mềm Quản lý Hiện Đại,Up to 20m,At office,Ha Noi,"ReactJS, JavaScript, Angular, ",
"Experienced DevOps Engineer(SRE, Cloud, K8S, Terraform)",YOONG,You'll love love love it,At office,Ho Chi Minh,"DevOps, Python, Cloud, ",
[Mid/Sr] Java Developer,NCCSOFT,You'll love it,At office,Ha Noi,"Java, Database, English, ",
"Experienced Manual QA (QA QC, Tester)",YOONG,You'll love love love it,At office,Ho Chi Minh,"QA QC, Agile, Tester, ",
"Senior Full-stack Developer (Java, JavaScript, English)",IMT Solutions,"1,800 - 2,500 USD",At office,Ho Chi Minh,"Java, JavaScript, English, ",
"[HN, HCM, DN] Mid Salesforce Developer (Cloud, JSON)",NCCSOFT,You'll love it,At office,Ha Noi - Ho Chi Minh - Da Nang,"Salesforce, Cloud, JSON, ",
Front-End Developer – 2D(SVG)/ 3D Viewer,Intratech Corp,You'll love it,At office,Ho Chi Minh - Da Nang,"ReactJS, Angular, VueJS, ",
Business Analyst (Data Analyst/ English),BALLER HEADWEAR VIET NAM,Negotiable,At office,Da Nang,"Business Analyst, English, Data Analyst, ",
AWS DevOps Engineers (Python),SBI FPT,You'll love it,At office,Da Nang,"AWS, Python, DevOps, ",
"Middle/Senior .NET Developer (C#, SQL)",F88,"18,000,000 -34,000,000",At office,Ha Noi,".NET, SQL, C#, ",
Business Analyst - Sản phẩm tài chính,DNSE,"1,000 - 2,000 USD",At office,Ha Noi,N/A,
"DevOps Engineers (AWS, Azure, Python)",iDeaLogic,You'll love it,Hybrid,Ho Chi Minh - Ha Noi,"DevOps, Azure, AWS, ",
Remote Java Developer - Spring/JQuery/J2EE,Arch Partnership Limited,You'll love it,Remote,Ho Chi Minh - Ha Noi - Others,N/A,
Manual QA (E-Commerce Site Projects),Breadstack Technologies Inc,You'll love it,At office,Ha Noi - Ho Chi Minh,"QA QC, Tester, ",
Middle/Senior Android Developer,TP Entertainment,"1,000 - 2,000 USD",At office,Ha Noi,"Kotlin, Database, Android, ",
Business Analyst (UI/UX),VietAnts,16tr-25tr,At office,Ha Noi,"Business Analyst, Project Manager, UI-UX, ",
Senior Java Full stack (Spring boot + DevOps),Bosch Global Software Technologies Company Limited,Competitive,At office,Ho Chi Minh,"Java, Spring, DevOps, ",
"Full-stack Developer, Staff/ Sr Staff",Synopsys Viet Nam,"1,500 - 4,000 USD",Hybrid,Ho Chi Minh,"Python, JavaScript, ",
Business Analyst – ODOO ERP,SGH Asia Ltd.,You'll love it,At office,Ho Chi Minh,"Business Analyst, ERP, Odoo, ",
Lead Automation Tester,BlueRose Technologies Vietnam,You'll love it,At office,Ho Chi Minh,"Tester, Automation Test, Team Leader, ",
Automation Tester,BlueRose Technologies Vietnam,You'll love it,At office,Ho Chi Minh,"Tester, Automation Test, Java, ",
"Senior Frontend/Fullstack (ReactJS, JavaScript, Golang)",GHN,You'll love it,At office,Ho Chi Minh,"ReactJS, Golang, JavaScript, ",
Product Owner (Agile/Scrum),CER GROUP - CÔNG TY CỔ PHẦN TẬP ĐOÀN CHỊ EM RỌT,You'll love it,At office,Ho Chi Minh,"Product Owner, Scrum, Agile, ",
(Senior) Technical Solutions Manager,HSC,You'll love it,At office,Ho Chi Minh,"Manager, Solution Architect, Team Leader, ",
"Full Stack Developer (NodeJS, TypeScript, Crypto)",Yolo Lab,"1,800 - 3,000 USD",Hybrid,Ho Chi Minh,"NodeJS, TypeScript, SQL, ",
"Founding Fullstack Engineer (Python, Django, AI)","Glacis, Inc","2,000 - 4,000 USD",At office,Ho Chi Minh,"Python, Django, AI, ",
"Senior Back-End Engineer (NodeJS, Java)",Relia Software,"1,000 - 2,000 USD",Hybrid,Ho Chi Minh,"NodeJS, English, Java, ",
Fullstack Developer (.NET/ Postgres/ MySQL),Zen8Labs,"1,000 - 2,500 USD",At office,Ha Noi,".NET, PostgreSql, MySQL, ",
Product Operation Specialist (prefer QC/BA background),GEEK UP,You'll love it,Hybrid,Ha Noi - Ho Chi Minh,"QA QC, Business Analyst, ",
"Senior Software Engineer (Python, AWS)",Katalon,You'll love it,Hybrid,Ho Chi Minh,"Python, Big Data, AWS, ",
Senior Software Engineer (Golang),Global Fashion Group,You'll love it,Hybrid,Ho Chi Minh,"Golang, AWS, ",
"Project Manager (.NET, ERP, English communication)",LINH LONG ELECTRONIC ENGINEERING,"Up to 75,000,000 vnd",At office,Ho Chi Minh,"Project Manager, ERP, .NET, ",
[Hybrid or Remote] - Fullstack Dev (Golang),Yet Company,"1,800 - 3,000 USD",Hybrid,Ho Chi Minh,"Golang, PHP, ",
Remote Fullstack Dev (C++/Python) - Up to $2000,Alpha H Trading,Negotiable,At office,Ho Chi Minh,N/A,
Senior Fullstack Engineer (PHP/React/TypeScript),Global Fashion Group,You'll love it,Hybrid,Ho Chi Minh,"PHP, ReactJS, TypeScript, ",
Lead IOS Engineer (Swift),Global Fashion Group,You'll love it,Hybrid,Ho Chi Minh,"Swift, iOS, ",
"Backend Developer (Python, Django)",Công ty CP N & H Logistics,You'll love it,At office,Ho Chi Minh,"Python, MongoDB, Django, ",
"QC Engineer - Upto 20tr, Nghỉ T7 Và CN",CNV Holdings,You'll love it,At office,Ho Chi Minh,"QA QC, Automation Test, Tester, ",
Senior SAP ABAP Consultant,"TDI APJ VIETNAM CO., LTD",You'll love it,At office,Ho Chi Minh,"SAP, Data Analyst, ABAP, ",
CV Quản lý ứng dụng - Application Administrator-K.CNTT,MB Bank,You'll love it,At office,Ha Noi,"Oracle, Database, Linux, ",
