title,company,salary,work,place,skills,decriptions
"Sr Frontend Engineer (React/NextJS),StoreFront Platform",Crossian,"Annual income $55,000",At office,Ha Noi,"ReactJS, JavaScript, NextJS, ",
"Senior Business Analyst, Global Supply Chain Platform",Crossian,Up to 30 months of salary,At office,Ha Noi,"Business Analyst, Data Analyst, UI-UX, ",
.NET Backend Engineer (Intermediate/Senior),Crossian,"Annual income $55,000.",At office,Ha Noi,".NET, C#, PostgreSql, ",
"Front-End Developer (React Native, ReactJS)",Pizza Hut Digital & Technology,Attractive package,Hybrid,Ho Chi Minh,"React Native, English, JavaScript, ","Flexible Friday afternoon, 18 Annual Leave + 5 Recharge Days/ Year, Hybrid working model, "
"Remote Fullstack Developer (Django (Python) , ReactJS)",Sekigin LLC.,Very attractive!!!,Remote,Ha Noi - Ho Chi Minh,"Python, ReactJS, NextJS, ","Work Hours: Flexible, Professional development opportunities, The possibility of travel for team collaboration, "
Solution Architect,SGITS,You'll love it,At office,Ho Chi Minh,"Solution Architect, .NET, English, ",
"Senior Java (Spring Boot, MySQL) - Up to 45M",NAL Việt Nam,"1,500 - 1,800 USD",At office,Ha Noi,"Java, Spring Boot, MySQL, ",
"Senior Backend Engineer (Golang, Java, .Net)",YOONG,You'll love love love it,At office,Ho Chi Minh,"C#, Golang, Java, ",
Full-stack Developer (Java/.NET/PHP - 3 yoe),Allexceed Việt Nam,You'll love it,At office,Ho Chi Minh,"Java, PHP, .NET, ","Cơ hội làm việc (ngắn/dài hạn) và định cư Nhật Bản, Mức lương cạnh tranh. Thưởng cao 2 lần/năm, Môi trường làm việc thân thiện,cởi mở và năng động, "
PHP Developer (Laravel/SQL) ~$1200,NAL Việt Nam,"800 - 1,200 USD",At office,Ha Noi,"PHP, Laravel, SQL, ",
Fresher/Junior Software Developer (Java/.NET/PHP),Allexceed Việt Nam,You'll love it,At office,Ho Chi Minh,N/A,"Cơ hội làm việc (ngắn/dài hạn) và định cư Nhật Bản, Mức lương cạnh tranh. Thưởng cao 2 lần/năm, Môi trường làm việc thân thiện,cởi mở và năng động, "
"Senior Business Analyst (BA, Tester, QA QC)",Công ty TNHH Giải pháp Công nghệ Cộng,"800 - 1,600 USD",At office,Ha Noi,"Business Analyst, QA QC, Tester, ",
"Senior Back-end Developer (C#, .Net, Oracle,PostgreSql)",Công ty TNHH Giải pháp Công nghệ Cộng,"1,000 - 1,500 USD",At office,Ha Noi,".NET, PostgreSql, Oracle, ",
Software Engineer in Test,Trusting Social,You'll love it,At office,Ho Chi Minh,"Automation Test, Tester, ","Top Salary, Awesome Benefits, Premium healthcare for 3 members in family, Grab to work, Lunch allowance for all employee, "
"Frontend & Tech Support (JavaScript, PHP)",Geniee Vietnam,"500 - 1,200 USD",At office,Ha Noi,"JavaScript, PHP, MySQL, ","13th month salary, performance bonus twice a year, Most valuable person/team awards per half-year, New Macbook pro Provided, "
Test Automation Engineer,OMNIA SYSTEMS COMPANY LIMITED,You'll love it,At office,Ho Chi Minh,"C#, JavaScript, ","Attractive salary and benefits, Flexible Working Hours, Training/ Onsite in Europe, "
[HCM/DN/Hybrid] Senior/Lead Automation Tester,KMS Technology,You'll love it,Hybrid,Ho Chi Minh - Da Nang,"Automation Test, QA QC, Tester, ",
"Technical/Solution Architect (.NET, Next.js)",Silicon Stack,You'll love it,Hybrid,Ho Chi Minh,"Solution Architect, .NET, Software Architect, ",
Product Owner (English),Cloud Technology,You'll love it,Hybrid,Ho Chi Minh,"Product Owner, UI-UX, English, ",
"Senior Backend Developer - Card (Java, Spring)",Techcombank,You'll love it,At office,Ha Noi,"Java, MySQL, Spring, ",
Technical Support Engineer - Java & C++,Murex,Competitive salary,At office,Ho Chi Minh,N/A,
Solution Architect,TymeX,You'll love it,Hybrid,Ho Chi Minh,"AWS, Spring, Java, ",
Senior Software Testing Engineer,Datalogic Việt Nam,You'll love it,At office,Ho Chi Minh,"Tester, Python, Java, ",
IT Business Analyst,CODE88 COMPANY LIMITED,"1,200 - 2,500 USD",At office,Ho Chi Minh,"Business Analyst, Tester, ",
"IT Team Leader (JavaScript, Python, SQL)",Tin học Đại dương,You'll love it,At office,Ho Chi Minh,"Python, Team Leader, JavaScript, ",
"Java Developer (Spring, OOP) Up to $2000",Techcom Securities,You'll love it,At office,Ha Noi,"Java, Spring, OOP, ","Attractive, competitive salary, Professional environment, Annual 5-star-company trip, "
"Team Leader / Full-Stack Engineer (Node.js, Angular)",Surbana Technologies Pte. Ltd.,"1,000 - 2,900 USD",Remote,Ho Chi Minh,"NodeJS, Angular, ",
Senior DevOps Engineer (Remote),Soda Digital,"1,000 - 2,000 USD",Remote,Others,"DevOps, AWS, Azure, ",
"Team Lead Dev MES (ERP, MySQL, Java)",SEN VÀNG VIỆT NAM,You'll love it,At office,Ho Chi Minh,"ERP, Java, MySQL, ",
Project Manager ( Agile Project Manager) - Upto 3000$,NAL Solutions,You'll love it,At office,Ho Chi Minh - Da Nang - Others,"Project Manager, Product Manager, Agile, ","20 annual leaves per year, Checkpoint: Twice per year, Year End Bonus, "
"Senior DevOps Engineer (AWS, GCP)",HSC,You'll love it,At office,Ho Chi Minh,"DevOps, GCP, AWS, ",
Senior Angular Developer (English),Topicus Vietnam,You'll love it,Hybrid,Ho Chi Minh,"Angular, English, ",
Agile Project Manager,Endava Việt Nam,You'll love it,Hybrid,Ho Chi Minh,"Project Manager, Scrum, Agile, ","Valuing our people with competitive compensation, Supporting our people’s health and wellbeing, Empowering our people to grow and thrive, "
"URGENT~Backend Technical Lead (Java, Python, Go)",HCL Vietnam Company Limited,You'll love it,At office,Ha Noi,"Java, Team Leader, Python, ","Attractive Salary and Performance Bonus, Health Care for Employees & Family, 18 paid leaves, Chance to travel to Australia, "
Senior Data Scientist,Global Fashion Group,You'll love it,Hybrid,Ho Chi Minh,"Python, Rust, Scala, ",
Senior DevOps Engineer,Global Fashion Group,You'll love it,Hybrid,Ho Chi Minh,"AWS, Linux, DevOps, ",
Senior/Middle Technical Business Analyst,LACONIC,"1,500 - 3,000 USD",At office,Ho Chi Minh,"Business Analyst, Agile, Data Analyst, ",
"Junior/Senior Backend Developer (C#, .NET, SQL)",TRUONG MINH THINH TECHNOLOGY JOINT STOCK COMPANY,Up to $2000,At office,Ho Chi Minh,"C#, .NET, SQL, ",
Automation Software Tester,Công ty Phần mềm Odyssey,You'll love it,At office,Da Nang,"Tester, QA QC, Automation Test, ",
Chuyên Viên Cao Cấp Phát Triển Kênh Số - K.CNTT,PVcomBank,You'll love it,At office,Ha Noi,"DevOps, Cloud, ","Môi trường năng động và cơ hội thăng tiến, Chế độ lương thưởng hấp dẫn, Bảo hiểm sức khỏe cao cấp (bảo hiểm toàn diện), "
Quản Trị Hệ Thống Mạng (Networking/ Linux/ SQL),Công ty TNHH Khóa Huy Hoàng,You'll love it,At office,Ha Noi,"Networking, SQL, Linux, ",
Senior Backend Developer (NodeJS),Trustify Technology,You'll love it,At office,Ho Chi Minh,"NodeJS, ReactJS, JavaScript, ",
Senior-Lead Software Engineer (.NET WPF),EUROFINS GSC IT VIETNAM COMPANY LIMITED,You'll love it,Hybrid,Ho Chi Minh,".NET, Cloud, SQL, ",
Fresher QA Engineer (Manual/ Automation),MODELTY STRATEGY & CONSULTING,You'll love it,At office,Ho Chi Minh,N/A,
Middle/ Senior Front-end Developer (ReactJS),Việt Nam Silicon,You'll love it,At office,Ho Chi Minh,"ReactJS, VueJS, ",
Jun/Mid Scrum Master(Project Manager/ Agile),Alpaca Vietnam,You'll love it,Hybrid,Ho Chi Minh,"Scrum, Agile, Project Manager, ",
"Technical Lead .NET (C#, ASP.NET, MVC, SQL, English)",NashTech,You'll love it,Hybrid,Ho Chi Minh - Da Nang,".NET, ASP.NET, Azure, ",
"Senior FullStack Devs – Tech Lead (JavaScript, NodeJS)",BlueStars Việt Nam,"1,200 - 1,600 USD",At office,Ha Noi,"JavaScript, TypeScript, NodeJS, ","Lương khởi điểm, phúc lợi hấp dẫn, Văn hóa làm việc chuyên nghiệp, tối ưu, Cơ hội học hỏi trong lĩnh vực thương mại điện tử, "
"Senior Solution Architect .NET (C#, ASP.NET, MVC)",NashTech,You'll love it,At office,Ho Chi Minh,".NET, Solution Architect, C#, ",
Fullstack Developer (ReactJS + NodeJS),VeXeRe,"550 - 1,200 USD",Hybrid,Ho Chi Minh,"ReactJS, NodeJS, ",
