web-scraper-order,web-scraper-start-url,links-href,Name,Brand,Prices,CPU,GPU,RAM,ROM,Screen,Weight,Os_sys
1,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-lenovo-loq-2024-15arp9-ryzen-7-7435hs-16gb-512gb-rtx-4060-8gb-15.6quot-fhd-144hz.html,"[New 100%] Lenovo LOQ 2024 15ARP9 (Ryzen 7-7435HS, 16GB, 512GB, RTX 4060 8GB, 15.6"" FHD 144Hz)",Lenovo,21.890.000,"AMD Ryzen™ 7 7435HS (3.10GHz up to 4.50GHz, 4MB L2 / 16MB L3 Cache)","NVIDIA® GeForce RTX™ 4060 8GB GDDR6, Boost Clock 2370MHz, TGP 105W",16GB DDR5 4800 SODIMM,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",~2.4 kg,Windows 11 b?n quy?n
2,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-lenovo-legion-5-r7000-2024-15ahp9-ryzen-7-8745h-16gb-512gb-rtx-4060-8gb-15.6-fhd-144hz.html,"[New 100%] Lenovo Legion 5 R7000 2024 15AHP9 (Ryzen 7-8745H, 16GB, 512GB, RTX 4060 8GB, 15.6'' FHD 144Hz)",Lenovo,23.990.000,"Ryzen 7-8745H (8 nhân 16 lu?ng, t?n s? c? b?n 3.8GHz, có th? ??t t?i 4.9GHz v?i turbo boost, b? nh? ??m 8MB L2 / 16MB L3, 4nm, TDP 35-54W)",NVIDIA Geforce RTX 4060 8GB GDDR6 (125W),16 GB DDR5 5600MHz,512GB PCIe NVMe M.2 SSD Gen 4,"15.6"" (1920x1080) IPS, 300nits, 100% sRGB, 144Hz",2.4 kg,Windows b?n quy?n
3,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-lenovo-loq-2024-15arp9-ryzen-7-7435hs-16gb-512gb-rtx-4050-6gb-15.6quot-fhd-144hz.html,"[New 100%] Lenovo LOQ 2024 15ARP9 (Ryzen 7-7435HS, 16GB, 512GB, RTX 4050 6GB, 15.6"" FHD 144Hz)",Lenovo,20.890.000,"AMD Ryzen™ 7 7435HS (3.10GHz up to 4.50GHz, 4MB L2 / 16MB L3 Cache)",NVIDIA® GeForce RTX™ 4050 6GB GDDR6,16GB DDR5 4800 SODIMM,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",~2.4 kg,Windows 11 b?n quy?n
4,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-lenovo-thinkbook-14-g6-2024-ryzen-7-8845h-32gb-1tb-14.0quot-2k-ips-120hz.html,"[New 100%] Lenovo Thinkbook 14 G6+ 2024 (Ryzen 7-8845H, 32GB, 1TB, 14.0"" 2K+ IPS 120Hz)",Lenovo,21.890.000,"AMD Ryzen 7 8845H (3.8 GHz up to 5.1 Hz, 8 Cores, 16 Threads, 16MB Cache)",AMD Graphics,32GB LPDDR5x 7500MT/s,1TB SSD PCIe 4.0,"14.5?, 2.5K+ (2560x1600) IPS, LED, 120Hz, 100% sRGB",1.5 kg,Windows 11 b?n quy?n
5,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-lenovo-legion-5-r7000-2024-15ahp9-ryzen-7-8745h-16gb-512gb-rtx-4050-6gb-15.6-fhd-144hz.html,"[New 100%] Lenovo Legion 5 R7000 2024 15AHP9 (Ryzen 7-8745H, 16GB, 512GB, RTX 4050 6GB, 15.6'' FHD 144Hz)",Lenovo,22.990.000,"Ryzen 7-8745H (8 nhân 16 lu?ng, t?n s? c? b?n 3.8GHz, có th? ??t t?i 4.9GHz v?i turbo boost, b? nh? ??m 8MB L2 / 16MB L3, 4nm, TDP 35-54W)",NVIDIA Geforce RTX 4050 6GB GDDR6,16 GB DDR5 5600MHz,512GB PCIe NVMe M.2 SSD Gen 4,"15.6"" (1920x1080) IPS, 300nits, 100% sRGB, 144Hz",2.4 kg,Windows b?n quy?n
6,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-acer-predator-helios-neo-2024-hn16-72-7148-core-i7-14650hx-16gb-1tb-rtx-4060-8gb-16quot-2k-165hz.html,"[New 100%] Acer Predator Helios Neo 2024 HN16-72-7148 (Core i7-14650HX, 16GB, 1TB, RTX 4060 8GB, 16"" 2K+ 165Hz)",Acer,29.990.000,"14th Generation Intel® Core™ i7-14650HX, 16C (8P + 8E) / 24T, P-core up to 5.2GHz, E-core up to 3.7GHz, 30MB Cache",NVIDIA GeForce RTX 4060 8GB 140W,16 GB DDR5 5600MHz,1TB PCIe NVMe SSD,"16? 2K+ (2560×1600) IPS 165Hz, sRGB 100%, 500 nits",2.6 kg,Windows 11
7,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/dell-inspiron-14-5430-core-i5-1340p-16gb-512gb-iris-xe-graphics-14quot-2k.html,"[New 100%] Dell Inspiron 14 5430 (Core i5-1340P, 16GB, 512GB, Iris Xe Graphics, 14"" 2.5K)",Dell,15.390.000,"Intel core i5-1340P (12 cores, 16 Threads, up to 4.6GHz, 12MB cache)",Intel Iris Xe Graphics,16GB LPDDR5,SSD 512GB M.2 NVMe,"14"" 2.5K+  16:10",1.55 kg,Window 11 b?n quy?n
8,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-outlet-acer-nitro-v-15-anv15-51-73b9-core-i7-13620h-16gb-512gb-rtx-4060-15.6quot-fhd-ips-144hz.html,"[New Outlet] Acer Nitro V 15 ANV15-51-73B9 (Core i7 - 13620H, 16GB, 512GB, RTX 4060 , 15.6"" FHD IPS 144Hz)",Acer,21.490.000,"Intel® Core™ i7-13620H (2.40GHz up to 4.90GHz, 24MB Cache)",NVIDIA® GeForce RTX™ 4060 GDDR6,"16GB DDR5 5200MHz (2 khe, t?i ?a 32GB)",512GB PCIe NVMe SSD,15.6 inch FHD(1920 x 1080) IPS 144Hz SlimBezel,~2.1 kg,Windows 11 Home b?n quy?n
9,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-hp-envy-x360-2in1-16-ac0013dx-2024-core-ultra-5-125u-16gb-512gb-intel-graphics-16quot-fhd-touch.html,"[New 100%] HP Envy x360 2-in-1 16-ac0013dx 2024 (Core Ultra 5 125U, 16GB, 512GB, Intel Graphics, 16"" FHD+ Touch)",HP,15.890.000,"Intel® Core™ Ultra 5 125U 12-Core Up to 4.3 GHz with Intel® Turbo Boost, 12 MB L3 cache",Intel Graphics,16GB LPDDR5-6400MHz (onboard),512GB M.2 PCIe NVMe SSD,"16inch WUXGA (1920 x 1200) IPS, Touch-Screen, multitouch-enabled",1.87kg,Windows 11 b?n quy?n
10,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-hp-envy-x360-2in1-16-ac0023dx-2024-core-ultra-7-155u-16gb-512gb-16quot-fhd-touch.html,"[New 100%] HP Envy x360 2-in-1 16-ac0023dx 2024 (Core Ultra 7 155U, 16GB, 512GB, 16"" FHD+ Touch)",HP,21.890.000,"Intel® Core™ Ultra 7 155U Up to 4.8GHz with Intel® Turbo Boost, 12 MB L3 cache",Intel Graphics,16GB LPDDR5-6400MHz (onboard),512GB M.2 PCIe NVMe SSD,"16inch FHD+ (1920 x 1200) IPS, Touch-Screen, multitouch-enabled",1.87kg,Windows 11 b?n quy?n
11,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-lenovo-thinkbook-16-g7-2024-ryzen-7-8845h-16gb-1tb-16.0quot-2k-ips-120hz.html,"[New 100%] Lenovo Thinkbook 16 G7 2024 (Ryzen 7 8845H, 16GB, 1TB, 16.0"" 2K+ IPS 120Hz)",Lenovo,20.490.000,"AMD Ryzen 7 8845H (3.8 GHz up to 5.1 Hz, 8 Cores, 16 Threads, 16MB Cache)",AMD Radeon™ 780M,16GB DDR5 5600MHz,1TB SSD PCIe 4.0,"16"" (2560x1600) IPS, 350nits, 100% sRGB, 120Hz, TCON",1.7 kg,Windows 11 b?n quy?n
12,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-hp-envy-x360-2-in-1-14-es1013dx-2024-core-7-150u-16gb-512gb-intel-graphics-14quot-fhd-touch.html,"[New 100%] HP Envy x360 2-in-1 14-es1023dx 2024 (Core 7 150U, 16GB, 512GB, Intel Graphics, 14"" FHD Touch)",HP,18.490.000,"Intel Core 5 120U (10 cores/ 12 threads, up to 5.4 GHz, 12MB Cache)",Intel Graphics,16GB DDR4 3200MHz,512GB M.2 PCIe NVMe SSD,"14-inch FHD (1920 x 1080) Touch-Screen, IPS, edge-to-edge glass, micro-edge",1.52kg,Windows 11 b?n quy?n
13,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-laptop-gaming-hp-victus-15-fb2063dx-ryzen-5-7535hs-8gb-512gb-rx-6550m-15.6quot-fhd-144hz.html,"[New 100%] Laptop Gaming HP Victus 15-fb2063dx (Ryzen 5 - 7535HS, 8GB, 512GB, RX 6550M, 15.6"" FHD 144Hz)",Laptop,14.490.000,"Ryzen™ 5-7535HS (6 Cores/ 12 Threads, 19MB Cache, Turbo boost up to 4.55GHz)",AMD Radeon RX 6550M 4G,8GB DDR5 4800Mhz,512GB M.2 2280 PCIe NVMe SSD,"15.6-inch, FHD (1920 x 1080), 144 Hz, 9 ms response time, IPS",~2.29 kg,Windows 11 b?n quy?n
14,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-lenovo-thinkbook-x-ai-2024-intel-ultra-9-185h-32gb-1tb-intel-arc-graphics-13.5quot-2k-ips-120hz.html,"[New 100%] Lenovo Thinkbook X AI 2024 (Intel Ultra 9 185H, 32GB, 1TB, Intel Arc Graphics, 13.5"" 2K+ IPS 120Hz)",Lenovo,30.890.000,"Intel Ultra 9 185H (1.8-2.3 GHz up to 5.1 Hz, 16 Cores, 22 Threads, 24MB Cache)",Intel  graphics,32GB LPDDR5x 8400MHz,1TB PCIe NVMe M.2 SSD gen 4,"13.5"" 2.8K (2880x1920), IPS, 500nits, 120Hz, t? l? khung hình 3:2, 100%sRGB",1.1 kg,Windows 11 b?n quy?n
15,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-lenovo-thinkbook-14-g5-arp-ryzen-7-7735h-16gb-512gb-14quot-2k-90hz.html,"[New 100%] Lenovo ThinkBook 14 G5+ ARP (Ryzen 7 7735H, 16GB, 512GB, 14"" 2K+ 90Hz)",Lenovo,16.490.000,"AMD Ryzen 7 7735H (3.20 GHz up to 4.75 GHz, 8 Cores, 16 Threads)",AMD Radeon 680M,16GB LPDDR5 6400 MHz,512GB PCIe® NVMe™ M.2 SSD,"14’’ 2.8K (2880 x 1800) LED backlight 400 nits, anti-glare IPS, color gamut 100% sRGB, 90Hz",1.4 kg,Windows 11 b?n quy?n
16,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-lenovo-thinkbook-x-ai-2024-intel-ultra-9-185h-32gb-1tb-intel-arc-graphics-13.5quot-2k-ips-120hz-touch.html,"[New 100%] Lenovo Thinkbook X AI 2024 (Intel Ultra 9 185H, 32GB, 1TB, Intel Arc Graphics, 13.5"" 2K+ IPS 120Hz Touch)",Lenovo,31.890.000,"Intel Ultra 9 185H (1.8-2.3 GHz up to 5.1 Hz, 16 Cores, 22 Threads, 24MB Cache)",Intel  graphics,32GB LPDDR5x 8400MHz,1TB PCIe NVMe M.2 SSD gen 4,"13.5"" 2.8K (2880x1920), IPS, 500nits, 120Hz, t? l? khung hình 3:2, 100%sRGB Touch",1.1 kg,Windows 11 b?n quy?n
17,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-dell-inspiron-16-7640-2-in-1-2024-ultra-5-125u-16gb-512gb-16.0quot-fhd-touch.html,"[New 100%] Dell Inspiron 16 7640 2-in-1 2024 (Ultra 5 125U, 16GB, 512GB, 16.0"" FHD+ Touch)",Dell,18.990.000,"Intel® Core Ultra 5 125U (12 nhân 14 lu?ng, xung nh?p t?i ?a 4.3 GHz)",Intel® Arc™ graphics,16GB LPDDR5x 6400MHz,512GB M.2 PCIe NVMe Solid State Drive,16.0-inch 16:10 FHD+ (1920 x 1200) Touch 300nits WVA Display with ComfortView Plus Support,2.18 kg,Window 11 b?n quy?n
18,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/dell-inspiron-16-5630-core-i5-1340p-16gb-512gb-intel-iris-xe-graphic-16-fhd.html,"[New 100%] Dell Inspiron 16 5630 (Core i5-1340P, 16GB, 512GB, Intel Iris Xe Graphic, 16'' FHD+)",Dell,14.890.000,"Intel core i5-1340P (12 cores, 16 Threads, up to 4.6GHz, 12MB cache)",Intel Iris Xe Graphics,16GB LPDDR5 4800MHz,SSD 512GB M.2 PCIe NVMe,16'' FHD+ (1920 x 1200; 16:10) Anti-Glare Non-Touch 250nits WVA Display with ComfortView Support,1.85 kg,Window 11 b?n quy?n
19,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-lenovo-legion-y7000p-2024-core-i7-14700hx-16gb-1tb-rtx-4070-8gb-16-2k-165hz.html,"[New 100%] Lenovo Legion Y7000P 2024 (Core i7-14700HX, 16GB, 1TB, RTX 4070 8GB, 16'' 2K+ 165Hz)",Lenovo,32.890.000,"14th Generation Intel® Core i7-14700HX, 20C (8P + 8E) / 28T, P-core up to 5.5GHz, E-core up to 3.9GHz, 33MB Cache",NVIDIA Geforce RTX 4070 8GB GDDR6,16 GB DDR5,1TB PCIe NVMe M.2 SSD Gen 4,"16"" WQXGA (2560x1600) IPS, non-touch, 16:10, 350nits, 165Hz, 100% sRGB, Dolby Vision, AMD FreeSync Premium, NVidia G-Sync, DC dimmer",2.3 kg,Windows b?n quy?n
20,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-asus-zenbook-14-oled-q415ma-core-ultra-5-125h-8gb-512gb-14quot-fhd-oled-touch.html,"[New 100%] Asus Zenbook 14 OLED Q415MA 2024 (Core Ultra 5 125H, 8GB, 512GB, 14"" FHD+ OLED Touch)",Asus,15.490.000,"Intel® Core™ Ultra 5 Processor 125H 1.2 GHz (18MB Cache, up to 4.5 GHz, 14 cores, 18 Threads); Intel® AI Boost NPU",Intel® Graphics,8GB LPDDR5 7467MHz on board,512GB M.2 NVMe™ PCIe® 4.0 SSD,"14.0-inch, FHD (1920 x 1200) OLED 16:10 aspect ratio, 0.2ms response time, 60Hz refresh rate, 500nits HDR peak brightness, 100% DCI-P3 color gamut, 1,000,000:1, 1.07 billion colors, Glossy display, 70% less harmful blue light, SGS Eye Care Display, Touch screen,",1.28 kg,Windows 11 b?n quy?n
21,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-asus-zenbook-14-oled-q425ma-2024-core-ultra-7-155h-16gb-1tb-14quot-fhd-oled-touch.html,"[New 100%] Asus Zenbook 14 OLED Q425MA 2024 (Core Ultra 7 155H, 16GB, 1TB, 14"" FHD+ OLED Touch)",Asus,20.490.000,"Intel® Core™ Ultra 7 Processor 155H 1.4 GHz (24MB Cache, up to 4.8 GHz, 16 cores, 22 Threads); Intel® AI Boost NPU",Intel® Arc™ Graphics,16GB LPDDR5X 7467MHz,1TB M.2 PCIe Gen 4 NVMe SSD,"14.0-inch, FHD (1920 x 1200) OLED 16:10 aspect ratio, 0.2ms response time, 60Hz refresh rate, 500nits HDR peak brightness, 100% DCI-P3 color gamut, 1,000,000:1, 1.07 billion colors, Glossy display, 70% less harmful blue light, SGS Eye Care Display, Touch screen,",1.28 kg,Windows 11 b?n quy?n
22,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-lenovo-legion-y9000p-2024-core-i9-14900hx-16gb-1tb-rtx-4060-8gb-16quot-2k-240hz.html,"[New 100%] Lenovo Legion Y9000P 2024 (Core i9-14900HX, 16GB, 1TB, RTX 4060 8GB, 16"" 2K+ 240Hz)",Lenovo,36.890.000,"14th Generation Intel® Core i9-14900HX, 24C / 32T, P-core up to 5.8GHz, E-core up to 4.1GHz, 36MB Cache",NVIDIA GeForce RTX 4060 8GB GDDR6 (140W),16GB DDR5 5600MHz,1TB M.2 PCIe NVMe SSD,"16"" WQXGA (2560×1600) IPS 500nits Anti-glare, 100% sRGB, 240Hz, DisplayHDR™ 400, Dolby® Vision™, G-SYNC®, Low Blue Light",2.53 kg,Windows b?n quy?n
23,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-dell-inspiron-14-plus-7430-core-i7-13620h-16gb-1tb-intel-graphics-14quot-2.5k.html,"[New 100%] Dell Inspiron 14 Plus 7430 (Core i7-13620H, 16GB, 1TB, Intel Graphics, 14"" 2.5K)",Dell,18.790.000,"13th Generation Intel® Core™ i7-13620H (10 cores, 16Threads, 3.6GHz Up to 4.9GHz, 24 MB Intel® Smart Cache)",Intel® Graphics,"16GB, LPDDR5 4800MHz","1 TB, M.2, PCIe NVMe, SSD","14.0"" 16:10 2.5K (2560 x 1600) 90Hz Anti-Glare Non-Touch 300nits WVA Display w/ ComfortView Plus",1.66 kg,Windows 11 b?n quy?n
24,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-lenovo-legion-y7000-2024-core-i7-13650hx-24gb-512gb-rtx-4060-8gb-15.6-fhd-144hz.html,"[New 100%] Lenovo Legion Y7000 2024 (Core i7-13650HX, 24GB, 512GB, RTX 4060 8GB, 15.6'' FHD 144Hz)",Lenovo,25.490.000,"13th Generation Intel® Core i7-13650HX, 20C (6P + 8E) xung nh?p turbo ??n nhân t?i ?a 4,9GHz",NVIDIA Geforce RTX 4060 8GB GDDR6,24 GB DDR5 (2x 12GB),512GB PCIe NVMe M.2 SSD Gen 4,"15.6"" FHD (1920x1080) IPS, non-touch, 300nits, 144Hz,",2.3 kg,Windows b?n quy?n
25,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/dell-inspiron-14-5430-core-i5-1340p-16gb-512gb-iris-xe-graphics-14quot-fhd.html,"[New 100%] Dell Inspiron 14 5430 (Core i5-1340P, 16GB, 512GB, Iris Xe Graphics, 14"" FHD+)",Dell,14.890.000,"Intel core i5-1340P (12 cores, 16 Threads, up to 4.6GHz, 12MB cache)",Intel Iris Xe Graphics,16GB LPDDR5,SSD 512GB M.2 NVMe,"14"" FHD+  (1920x1200, 16:10)",1.55 kg,Window 11 b?n quy?n
26,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/moi-100-lenovo-legion-pro-5-r9000p-2023-ryzen-9-7945hx-16gb-1tb-rtx-4060-8gb-16quot-wqxga-240hz.html,"[New 100%] Lenovo Legion Pro 5 R9000P 2023 (Ryzen 9-7945HX, 16GB, 1TB, RTX 4060 8GB, 16"" 2K+ 240Hz)",Lenovo,31.890.000,"AMD Ryzen 9 7945HX (16 cores x 32 threads, 2.5 up to 5.4GHz, 64MB Cache)",NVIDIA GeForce RTX 4060 8GB GDDR6 (140W),16GB RAM DDR5 5600MHz,1 TB M.2 2280 PCIe 4.0 SSD,"16 inch WQXGA (2560 x 1600), IPS, Anti-Glare, Non-Touch, 100%sRGB, 500 nits, 240Hz, LED Backlight, Narrow Bezel, Low Blue Light",2.53 Kg,Windows b?n quy?n
27,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-msi-thin-gf63-12ucx-core-i5-12450h-8gb-1tb-rtx-2050-4gb-15.6quot-fhd-144hz.html,"[New 100%] MSI Thin GF63 12UCX (Core i5-12450H, 8GB, 1TB, RTX 2050 4GB, 15.6"" FHD 144Hz)",MSI,14.990.000,"Intel® Core™ i5-12450H (2.00GHz up to 4.40GHz, 12MB cache)",NVIDIA GeForce RTX 2050 4GB GDDR6,8GB DDR4 3200MHz,1TB NVMe PCIe SSD,"15.6inch FHD (1920 x 1080) IPS, 144Hz, 45% NTSC","1,86 kg",Windows b?n quy?n
28,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-lenovo-legion-y7000p-2024-core-i7-14650h-16gb-1tb-rtx-4060-8gb-16-2k-165hz.html,"[New 100%] Lenovo Legion Y7000P 2024 (Core i7-14650HX, 16GB, 1TB, RTX 4060 8GB, 16'' 2K+ 165Hz)",Lenovo,29.890.000,"14th Generation Intel® Core™ i7-14650HX, 16C (8P + 8E) / 24T, P-core up to 5.2GHz, E-core up to 3.7GHz, 30MB Cache",NVIDIA Geforce RTX 4060 8GB GDDR6,16 GB DDR5,1TB PCIe NVMe M.2 SSD Gen 4,"16"" WQXGA (2560×1600) IPS 500nits Anti-glare, 100% sRGB, 165Hz, DisplayHDR™ 400, Dolby® Vision™, G-SYNC®, Low Blue Light",2.3 kg,Windows b?n quy?n
29,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-lenovo-thinkbook-14-g6-2024-intel-ultra-5-125h-16gb-512gb-intel-arc-graphics-14.0quot-2k-ips.html,"[New 100%] Lenovo Thinkbook 14 G6+ 2024 (Intel Ultra 5 125H, 16GB, 512GB, Intel Arc Graphics, 14.0"" 2K+ IPS)",Lenovo,18.590.000,"Intel Core Ultra 5 125H (2.3 GHz up to 4.5 Hz, 14 Cores, 18 Threads, 18MB Cache)",Intel Arc Graphics,16GB LPDDR5x 7467MT/s,512GB SSD PCIe 4.0,"14.5?, 2.5K+ (2560x1600) IPS, LED, 90Hz, 100% sRGB",1.5 kg,Windows 11 b?n quy?n
30,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-lenovo-loq-2024-15iax9-core-i5-12450hx-12gb-512gb-rtx-3050-6gb-15.6quot-fhd-144hz.html,"[New 100%] Lenovo LOQ 2024 15IAX9 (Core i5-12450HX, 12GB, 512GB, RTX 3050 6GB, 15.6"" FHD 144Hz)",Lenovo,18.990.000,"Intel® Core™ i5-12450HX (2.00GHz up to 4.40GHz, 12MB Cache)",NVIDIA® GeForce RTX™ 3050 6GB GDDR6,12GB DDR5 4800MHz (up to 32GB),512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6inch FHD (1920x1080) IPS 300nits Anti-glare, 100%sRGB, 144Hz",~2.4 kg,Windows 11 b?n quy?n
31,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-laptop-gaming-hp-victus-15-fa0033dx-core-i5-12450h-8gb-512gb-rtx-3050-4gb-15.6quot-fhd-144hz.html,"[New 100%] Laptop Gaming HP Victus 15-fa0033dx (Core i5-12450H, 8GB, 512GB, RTX 3050 4GB, 15.6"" FHD 144Hz)",Laptop,16.490.000,"Intel Core i5-12450H (8 Cores/ 12 Threads, 12MB Cache, Turbo boost 4.40GHz)",NVIDIA GeForce RTX 3050 4GB GDDR6,8GB DDR4 3200Mhz,512GB M.2 2280 PCIe NVMe SSD,"15.6-inch, FHD (1920 x 1080), 144 Hz, 9 ms response time, IPS",~2.29 kg,Windows 11 b?n quy?n
32,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-lenovo-legion-5-2024-16irx9-83dg004yvn-core-i7-14650hx-16gb-512gb-rtx-4060-8gb-16-2k-165hz.html,"[New 100%] Lenovo Legion 5 2024 16IRX9 83DG004YVN (Core i7-14650HX, 16GB, 512GB, RTX 4060 8GB, 16'' 2K+ 165Hz)",Lenovo,38.590.000,"14th Generation Intel® Core™ i7-14650HX, 16C (8P + 8E) / 24T, P-core up to 5.2GHz, E-core up to 3.7GHz, 30MB Cache",NVIDIA Geforce RTX 4060 8GB GDDR6,16 GB DDR5,512GB PCIe NVMe M.2 SSD Gen 4,"16"" WQXGA (2560×1600) IPS 500nits Anti-glare, 100% sRGB, 165Hz, DisplayHDR™ 400, Dolby® Vision™, G-SYNC®, Low Blue Light",2.3 kg,Windows b?n quy?n
33,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-dell-inspiron-7445-2-in-1-2024-ryzen-5-8640hs-8gb-512gb-amd-radeon-graphics-14-fhd-touch.html,"[New 100%] Dell Inspiron 7445 2-in-1 2024 (Ryzen 5 - 8640HS, 8GB, 512GB,  AMD Radeon Graphics, 14'' FHD+ Touch)",Dell,14.390.000,AMD Ryzen™ 5 8640HS 6-core/12-thread Processor with Radeon™ Graphics,AMD Radeon™ Graphics,"8GB, 1x8GB, DDR5, 5600MHz",512GB M.2 PCIe NVMe Solid State Drive,14.0-inch 16:10 FHD+ (1920 x 1200) Touch 250nits WVA Display with ComfortView Support,1.7 kg,Window 11 b?n quy?n
34,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-acer-nitro-v-15-anv15-51-789j-core-i7-13620h-16gb-512gb-rtx-4060-8gb-15.6quot-fhd-ips-144hz.html,"[New 100%] Acer Nitro V 15 ANV15-51-789J (Core i7 - 13620H, 16GB, 512GB, RTX 4060 8GB, 15.6"" FHD IPS 144Hz)",Acer,23.490.000,"Intel® Core™ i7-13620H (2.40GHz up to 4.90GHz, 24MB Cache)",NVIDIA® GeForce® RTX 4060 (85W) 8GB GDDR6,"16GB DDR5 5200MHz (2 khe, t?i ?a 32GB)",512GB PCIe NVMe SSD,15.6 inch FHD(1920 x 1080) IPS 144Hz SlimBezel,~2.1 kg,Windows 11 Home b?n quy?n
35,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-acer-nitro-v-15-anv15-51-59mt-core-i5-13420h-8gb-512gb-rtx-4050-6gb-15.6quot-fhd-ips-144hz.html,"[New 100%] Acer Nitro V 15 ANV15-51-51H9 (Core i5-13420H, 8GB, 512GB, RTX 4050 6GB, 15.6"" FHD IPS 144Hz)",Acer,19.490.000,"Intel® Core™ i5-13420H (8 cores, 12 Threads, 3.4GHz Up to 4.6GHz, 12 MB Intel® Smart Cache)",NVIDIA® GeForce RTX™ 4050 6GB GDDR6,"8GB DDR5 5200MHz (2 khe, t?i ?a 32GB)",512GB PCIe NVMe SSD,15.6 inch FHD(1920 x 1080) IPS 144Hz SlimBezel,~2.1 kg,Windows 11 Home b?n quy?n
36,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-hp-envy-x360-2-in-1-14-fa0023dx-2024-ryzen-7-8840hs-16gb-1tb-14quot-fhd-touch.html,"[New 100%] HP Envy x360 2-in-1 14-fa0023dx 2024 (Ryzen 7 8840HS, 16GB, 1TB, 14"" FHD+ Touch)",HP,18.690.000,"Ryzen 7 8840HS ( 8 Cores, 16 Threads, Turbo 3.3 GHz up to 5.1 GHz, Cache L3 16MB)",AMD Radeon™ Graphics,16GB LPDDR5 6400MHz,1TB PCIe® NVMe™ M.2 SSD,"14"" diagonal, FHD+ (1920 x 1200), multitouch-enabled, IPS, edge-to-edge glass, micro-edge 300 nits",1.39kg,Windows 11 b?n quy?n
37,https://laptopaz.vn/laptop-moi.html,https://laptopaz.vn/new-100-dell-inspiron-7440-plus-2024-core-i5-12450h-16gb-512gb-intel-iris-xe-graphics-14quot-2k.html,"[New 100%] Dell Inspiron 7440 Plus 2024 (Core i5-12450H, 16GB, 512GB, Intel Iris Xe Graphics, 14"" FHD+)",Dell,14.290.000,"Intel Core i5 12450H (12MB cache, 8 cores, 12 threads, up to 4.4 GHz)",Intel Arc Graphics,"16GB, 2x8GB, LPDDR5X 4800MT/s",512GB M.2 PCIe NVMe Solid State Drive,14.0-inch FHD+ (1920 x 1200) Anti-Glare Non-Touch 300nits WVA Display w/ ComfortView Plus,1.6 kg,Window 11 b?n quy?n
