web-scraper-order,web-scraper-start-url,links-href,Name,Brand,Prices,CPU,GPU,RAM,ROM,Screen,Weight,Os_sys
320,https://laptopaz.vn/laptop-moi.html?page=8,https://laptopaz.vn/moi-100-gigabyte-g5-ke-52vn263sh-core-i5-12500h-8gb-512gb-rtx-3060-156-inch-fhd-144hz.html,"[New 100%] Gigabyte G5 KE-52VN263SH (Core i5-12500H, 8GB, 512GB, RTX 3060, 15.6 inch FHD 144Hz)",Gigabyte,26.590.000,"Intel Core i5-12500H (2.50GHz up to 4.50GHz,18MB Cache)",NVIDIA® GeForce® RTX 3060 6GB GDDR6,8GB DDR4 3200Mhz,SSD 512GB NVMe,15.6 inch FHD (1920x1080) IPS 144Hz,1.9 kg,Windows 11 Home b?n quy?n
321,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/laptop-cu-dell-latitude-e5470-core-i5-6300u-ram-8gb-ssd-256gb-vga-intel-hd-520-14.0-inch-hd.html,"[Like New] Dell Latitude E5470 (Core i5-6300U, 8GB, 256GB, VGA Intel HD 520, 14.0'' FHD)",Dell,9.590.000,Intel® Core™ i5-6300U,Intel HD Graphics 520,8GB DDR3 Bus 1600MHz,SSD 256GB,14.0 inch FHD (+500K IPS),1.73 kg,Windows 10 b?n quy?n
322,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/laptop-cu-dell-latitude-e5440-core-i5-4300u-ram-4gb-ssd-128gb-hd-4400-14-inch.html,"[Like New] Dell Latitude E5440 Core i5-4300U, 4GB, 128GB, HD 4400, 14 inch",Dell,3.990.000,Intel® Core™ i5-4300UU,Intel HD Graphics 4400,4GB PC3 bus 1600MHz,SSD 128GB,14.0 inch HD,1.8 kg,Windows 10 b?n quy?n
323,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/laptop-dell-g3-3590-i5-9300h-8gb-128gb1tb-vga-4gb-nvidia-gtx-1650-15.6-inch-fhd-ips-new-100.html,"[M?i 99%] Dell G3-3590 i5-9300H, 8GB, 128GB + 1TB, VGA 4GB GTX 1650, 15.6' FHD IPS",Dell,11.890.000,Intel® Core™ i5-9300H,NVIDIA GTX 1650 4GB,8GB DDr4 2666MHz,SSD 128GB + HDD 1T,15.6 inch FHD IPS,2.5 kg,Windows 10 b?n quy?n
324,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/laptop-cu-dell-latitude-e7270-core-i5-6200u-8gb-256gb-intel-hd-520-12.5-fhd.html,"[Like New] Dell Latitude E7270 Core i5-6300U, 8GB, 256GB, Intel HD 520, 12.5 FHD",Dell,9.190.000,Intel® Core™ i5-6300U,intel HD 520,8GB DDR4,SSD 256GB,12.5 icnh Full HD,1.26kg,Windows 10
325,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/moi-99laptop-hp-elitebook-830-g5-core-i5-8350u-ram-8gb-ssd-256gb-vga-intel-uhd-graphics-620-13.3quot-fhd-ips.html,"[M?i 99%]Laptop HP EliteBook 830 G5 (Core i5-8350U, 8GB, 256GB, VGA Intel UHD Graphics 620, 13.3 FHD IPS)",HP,15.690.000,Intel® Core™ i5-8350U,Intel UHD Graphics 620,8GB DDR4 Bus 2400,SSD 256GB,13.3 Inch FHD IPS,1.33 kg,"Windows 7,8,10"
326,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/dell-g3-3579-core-i5-8300h-ram-8gb-hdd-1tb-ssd-128gb-vga-4gb-nvidia-gtx-1050-15.6-inch-fhd-ips-moi-99.html,"[M?i 99%] Dell G3 3579 (Core i5-8300H, 8GB, 128GB + 500GB, VGA 4GB GTX 1050, 15.6' FHD)",Dell,13.390.000,Intel® Core™ i5-8300H,NVIDIA GTX 1050 4GB,8GB DDR4 Bus 2666Mhz,HDD 500GB  + SSD 128GB,15.6 inch FHD,6 Cells,Windows 10 b?n quy?n
327,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/laptop-hp-elitebook-840-g2-core-i5-5300u-ram-4gb-ssd-128gb-vga-intel-hd-graphics-4400-14-inch.html,"Laptop HP EliteBook 840 G2 (Core i5-5300U, 4GB, 128GB, VGA Intel HD Graphics 4400, 14 inch)",HP,4.990.000,Intel® Core™ i5-5300U,Intel HD Graphics 5500,4GB DDR3 Bus 1600MHz,SSD 128GB,14 Inch HD LED,1.7 kg,"Windows 7,8,10"
328,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/dell-g3-3579-core-i5-8300h-ram-8gb-hdd-1tb-ssd-128gb-vga-4gb-nvidia-gtx-1050ti-15.6-inch-fhd-ips-moi-99.html,"[M?i 99%] Laptop Dell G3 3579 (Core i5-8300H, 8GB, 1TB, VGA 4GB GTX 1050Ti, 15.6' FHD IPS)",Dell,14.390.000,Intel® Core™ i5-8300H,NVIDIA GTX 1050 4GB,8GB DDR4 Bus 2666MHz,HDD 1TB,15.6 inch FHD IPS,2.5 kg,Windows 10 b?n quy?n
329,https://laptopaz.vn/laptop-like-new.html,https://laptopaz.vn/lenovo-thinkpad-p51-core-i7-7820hq-16gb-512gb-vga-4gb-nvidia-quadro-m2200m-15.6-inch-fhd.html,"LENOVO THINKPAD P51 (Core i7-7820HQ, 16GB, 512GB, VGA 4GB NVIDIA Quadro M2200M, 15.6 inch FHD)",Lenovo,22.890.000,Intel® Core i7-7820HQ,NVIDIA Quadro M2200M 4GB,16GB DDR4 Bus 2400MHz,SSD 512GB,15.6 Inch FHD,2.6 kg,Windows 10 b?n quy?n
